X,Y,Z,formation
0,100,200.0,rock1
0,500,200.0,rock1
0,900,200.0,rock1
400,100,600.0,rock1
400,500,600.0,rock1
400,900,600.0,rock1
200,100,400.0,rock1
200,500,400.0,rock1
200,900,400.0,rock1
800,100,400.0,rock1
800,500,400.0,rock1
800,900,400.0,rock1
600,100,600.0,rock1
600,500,600.0,rock1
600,900,600.0,rock1
1000,100,200.0,rock1
1000,500,200.0,rock1
1000,900,200.0,rock1
0,100,400.0,rock2
0,500,400.0,rock2
0,900,400.0,rock2
1000,100,400.0,rock2
1000,500,400.0,rock2
1000,900,400.0,rock2
400,100,800.0,rock2
400,500,800.0,rock2
400,900,800.0,rock2
200,100,600.0,rock2
200,500,600.0,rock2
200,900,600.0,rock2
600,100,800.0,rock2
600,500,800.0,rock2
600,900,800.0,rock2
800,100,600.0,rock2
800,500,600.0,rock2
800,900,600.0,rock2
112,721,497.5727427392406,rock2
288,755,706.8197117914833,rock2
194,734,628.9116755655104,rock2
365,513,764.2743261869,rock2
136,425,554.3846902339948,rock2
299,824,736.5512664629142,rock2
201,283,631.9364962141793,rock2
263,916,654.0201824288924,rock2
166,222,566.459680972074,rock2
93,545,512.6139060395649,rock2
195,262,582.9905404001825,rock2
320,989,744.7368994113908,rock2
167,711,556.8675193089014,rock2
31,611,423.4312612268016,rock2
315,312,701.9952281045989,rock2
20,251,370.8830179658354,rock2
336,384,742.0049217252995,rock2
111,557,479.3745971433408,rock2
82,141,496.39494508511984,rock2
391,563,784.1647340238852,rock2
189,782,622.8467094177471,rock2
374,129,803.9539793212432,rock2
118,654,512.9008545722877,rock2
273,520,717.4167909478382,rock2
269,564,651.3481325980847,rock2
993,154,406.59470408621456,rock2
664,36,722.4012474871054,rock2
975,265,457.32778233260757,rock2
872,746,538.773389415898,rock2
900,313,472.8326456310407,rock2
708,562,684.5566009852539,rock2
670,291,705.230609004316,rock2
803,410,589.5696412010279,rock2
993,342,427.1024931140096,rock2
642,759,757.9835855299156,rock2
781,981,625.3371633407178,rock2
876,233,520.162871963014,rock2
752,853,611.0988192203483,rock2
815,357,569.0159455473839,rock2
673,167,750.2478866139885,rock2
715,370,656.3353596323072,rock2
700,885,689.1433820792972,rock2
745,352,668.3922052498459,rock2
983,645,381.941395287401,rock2
812,861,601.6346640272981,rock2
702,844,693.9915890897349,rock2
961,913,489.30764000178186,rock2
758,26,644.085800799266,rock2
843,17,557.9149501833007,rock2
978,49,379.0696062347196,rock2
